"household_id","n_parcelles","n_parcelles_valides","superficie_totale_ha"
70122,2,2,0.116074002
70123,3,2,0.443415999
70124,4,3,0.94654999
70125,4,3,0.80705001
70126,3,3,1.15738003
70127,4,3,1.618189
70128,3,2,0.28905
70129,3,3,0.321060999
70130,3,3,0.79426502
70131,2,2,0.36236001
70132,2,2,0.36295
70133,4,4,0.99009999
70134,5,4,1.047850008
70135,3,2,0.33769
70136,3,2,0.413890009
70137,3,3,1.01665002
70139,4,3,0.77802
70140,5,4,0.441561997
70151,1,0,NA
70152,2,1,0.95784004
70154,1,0,NA
70155,1,0,NA
70156,2,0,NA
70157,2,0,NA
70158,1,0,NA
70159,2,0,NA
70160,2,0,NA
79002,2,0,NA
79004,2,2,0.44578
79005,5,4,0.79892
79006,3,2,0.75047
79007,2,2,0.73405
79008,3,3,2.08087998
79009,2,2,0.125629999
79010,3,2,0.60645002
79011,4,4,1.02546001
79012,1,1,0.046860999
79014,3,3,0.670381988
79015,3,3,1.80496
79016,3,3,1.20352
79017,4,3,0.90338001
79018,5,4,0.864770032
79019,7,6,4.83277003
79020,4,3,1.161612
79021,4,3,1.34219998
79023,6,5,1.453225019
79024,5,4,1.166659979
79025,3,3,2.23465001
79026,5,4,6.0835
79028,3,3,3.12528999
79029,2,2,1.29713999
79030,4,3,3.64101997
79032,2,1,0.67816001
79033,4,2,0.68239
79034,2,2,1.273253003
79035,4,3,7.93652
79036,2,2,1.92623
79038,5,4,1.33891001
79039,5,4,3.12397996
79040,2,1,0.083457
79042,3,3,1.46346001
79043,2,2,0.479058
79045,1,0,NA
79046,1,0,NA
79047,2,2,0.43715
79055,1,0,NA
79056,1,0,NA
79057,1,0,NA
79061,4,3,1.01207
79062,4,4,0.95667
79064,4,4,1.70929001
79065,3,3,1.83461001
79066,3,3,0.394789001
79067,4,3,0.59783001
79068,2,2,0.927406957
79069,2,2,1.20636001
79070,3,3,3.0376
79072,2,2,0.90626001
79073,1,1,0.29217
79074,3,2,0.67526
79075,4,4,3.21896001
79077,3,3,0.46738
79078,3,2,1.02660998
79080,4,3,2.15798003
79081,3,2,0.92281997
79082,4,3,0.52794
79083,6,6,1.21223001
79084,3,2,0.27052
79085,4,4,0.591476
79087,2,2,0.235592998
79088,1,0,NA
79090,2,2,0.597709991
79091,2,2,0.399303999
79092,4,3,0.297600001
79093,4,4,0.414899998
79094,4,3,0.417169999
