"identifiant_menage","nb_parcelles","nb_parcelles_valides","superficie_totale_ha","poids_menage","etat","region","zone_residence","log1p_tot_ha"
59046,4,4,3.375,2241.02954101562,"Bauchi","North East","Rural",1.47590651980958
59047,5,5,6.215,2241.02954101562,"Bauchi","North East","Rural",1.97616219222583
59048,5,5,3.49,2241.02954101562,"Bauchi","North East","Rural",1.50185270175416
59049,3,3,1.81,5444.3505859375,"Bauchi","North East","Rural",1.03318448334565
59050,4,4,6.41,5444.3505859375,"Bauchi","North East","Rural",2.002830439308
59052,3,3,3.426,5444.3505859375,"Bauchi","North East","Rural",1.48749624162886
59053,1,0,NA,5444.3505859375,"Bauchi","North East","Rural",NA
59054,2,2,2,5444.3505859375,"Bauchi","North East","Rural",1.09861228866811
59056,2,2,2.4,5444.3505859375,"Bauchi","North East","Rural",1.22377543162212
59057,2,2,1.8,5444.3505859375,"Bauchi","North East","Rural",1.02961941718116
59058,3,3,2.81,5444.3505859375,"Bauchi","North East","Rural",1.33762918913861
59059,6,6,5.535,5444.3505859375,"Bauchi","North East","Rural",1.87717234707619
59060,3,3,4.41,5444.3505859375,"Bauchi","North East","Rural",1.68824909285839
59062,2,2,6.005,6837.875,"Bauchi","North East","Rural",1.94662417978897
59063,3,3,2.41,6837.875,"Bauchi","North East","Rural",1.22671229129543
59064,3,3,2.21,6837.875,"Bauchi","North East","Rural",1.16627093714192
59066,2,2,2,6837.875,"Bauchi","North East","Rural",1.09861228866811
59067,1,1,1.6,6837.875,"Bauchi","North East","Rural",0.955511445027436
59068,3,3,5,6837.875,"Bauchi","North East","Rural",1.79175946922805
59069,3,3,1.77,6837.875,"Bauchi","North East","Rural",1.01884732019925
59070,4,4,1.97,6837.875,"Bauchi","North East","Rural",1.08856195281461
59071,2,2,1.615,6837.875,"Bauchi","North East","Rural",0.961264097516886
59072,4,4,1.878,6837.875,"Bauchi","North East","Rural",1.05709560846518
59073,6,6,2.92,1335.15405273438,"Bauchi","North East","Rural",1.36609165380237
59075,6,6,2.64,1335.15405273438,"Bauchi","North East","Rural",1.29198368164865
59076,4,4,0.94,1335.15405273438,"Bauchi","North East","Rural",0.662687973075237
59077,9,9,2.78,1335.15405273438,"Bauchi","North East","Rural",1.3297240096315
59078,5,5,1.02236,1335.15405273438,"Bauchi","North East","Rural",0.704265146293792
59079,5,5,3.202802,1335.15405273438,"Bauchi","North East","Rural",1.4357514457056
59080,5,5,0.972029,1335.15405273438,"Bauchi","North East","Rural",0.679062961954666
59081,4,4,1.3025,1335.15405273438,"Bauchi","North East","Rural",0.833995489147325
59083,11,11,3.778744,1335.15405273438,"Bauchi","North East","Rural",1.56417775046924
59084,5,5,1.516558,1335.15405273438,"Bauchi","North East","Rural",0.922892094852645
59085,3,3,2.285,1795.8076171875,"Bauchi","North East","Rural",1.18936665193657
59086,5,5,4.398,1795.8076171875,"Bauchi","North East","Rural",1.68602851459581
59087,3,3,2.41,1795.8076171875,"Bauchi","North East","Rural",1.22671229129543
59088,3,3,3.468,1795.8076171875,"Bauchi","North East","Rural",1.49694088120695
59089,2,2,6,1795.8076171875,"Bauchi","North East","Rural",1.94591014905531
59090,3,3,3.8,1795.8076171875,"Bauchi","North East","Rural",1.56861591791385
59092,4,4,6.8025,1795.8076171875,"Bauchi","North East","Rural",2.0544441951628
59093,4,4,4.405,1795.8076171875,"Bauchi","North East","Rural",1.68732445109117
59094,3,3,1.81,1795.8076171875,"Bauchi","North East","Rural",1.03318448334565
59095,5,5,6.407,1795.8076171875,"Bauchi","North East","Rural",2.00242549903115
59097,3,3,1.21,2139.29541015625,"Bauchi","North East","Rural",0.792992515529661
59098,7,7,2.89,2139.29541015625,"Bauchi","North East","Rural",1.35840915763035
59099,3,3,0.885,2139.29541015625,"Bauchi","North East","Rural",0.633927820899974
59101,2,2,0.9,2139.29541015625,"Bauchi","North East","Rural",0.641853886172395
59102,2,2,0.956,2139.29541015625,"Bauchi","North East","Rural",0.670901571612626
59103,2,2,0.72,2139.29541015625,"Bauchi","North East","Rural",0.542324290825362
59104,3,3,1.2,2139.29541015625,"Bauchi","North East","Rural",0.78845736036427
59105,3,3,0.61,2139.29541015625,"Bauchi","North East","Rural",0.476234178996372
59106,3,3,2.02,2139.29541015625,"Bauchi","North East","Rural",1.10525683138678
59108,3,3,1.495,2139.29541015625,"Bauchi","North East","Rural",0.914288729203482
59110,4,4,1.425,3416.18920898438,"Bauchi","North East","Rural",0.885831524389447
59111,4,4,1.205,3416.18920898438,"Bauchi","North East","Rural",0.790727508898809
59112,4,4,1.045,3416.18920898438,"Bauchi","North East","Rural",0.715397789494765
59113,2,2,2.32,3416.18920898438,"Bauchi","North East","Rural",1.1999647829284
59115,2,2,2.2,3416.18920898438,"Bauchi","North East","Rural",1.16315080980568
59116,2,2,0.9,3416.18920898438,"Bauchi","North East","Rural",0.641853886172395
59117,4,4,2.775,3416.18920898438,"Bauchi","North East","Rural",1.32840038270099
59118,5,5,4.82,3416.18920898438,"Bauchi","North East","Rural",1.76130026174335
59119,5,5,7.345,3416.18920898438,"Bauchi","North East","Rural",2.1216625571138
59120,4,4,2.215,3416.18920898438,"Bauchi","North East","Rural",1.16782735768958
59121,3,3,0.85,3627.626953125,"Bauchi","North East","Rural",0.615185639090233
59122,5,5,3.81,3627.626953125,"Bauchi","North East","Rural",1.57069708411767
59124,4,4,1.605,3627.626953125,"Bauchi","North East","Rural",0.95743267520533
59125,4,4,2.645,3627.626953125,"Bauchi","North East","Rural",1.29335636546062
59127,3,3,1.908,3627.626953125,"Bauchi","North East","Rural",1.06746555967127
59128,3,3,1.76,3627.626953125,"Bauchi","North East","Rural",1.01523067972906
59129,4,4,1.031,3627.626953125,"Bauchi","North East","Rural",0.708528282598248
59130,3,3,1.01,3627.626953125,"Bauchi","North East","Rural",0.698134722070984
59132,5,5,3.655,3627.626953125,"Bauchi","North East","Rural",1.53794191072903
59133,1,1,0.592,2324.1298828125,"Bauchi","North East","Rural",0.464991087422191
59135,1,0,NA,2324.1298828125,"Bauchi","North East","Rural",NA
59136,1,0,NA,2324.1298828125,"Bauchi","North East","Rural",NA
59137,1,0,NA,2324.1298828125,"Bauchi","North East","Rural",NA
59138,2,2,2.4,2324.1298828125,"Bauchi","North East","Rural",1.22377543162212
59140,1,1,0.4,2324.1298828125,"Bauchi","North East","Rural",0.336472236621213
59142,1,1,0.01,2324.1298828125,"Bauchi","North East","Rural",0.00995033085316808
59143,1,1,0.496,2324.1298828125,"Bauchi","North East","Rural",0.402794879552285
59144,1,1,0.4,2324.1298828125,"Bauchi","North East","Rural",0.336472236621213
59145,4,4,1.57,3592.50439453125,"Bauchi","North East","Rural",0.943905898907129
59147,4,4,2.805,3592.50439453125,"Bauchi","North East","Rural",1.33631599131365
59148,3,3,0.563,3592.50439453125,"Bauchi","North East","Rural",0.44660705143934
59149,2,2,1.212,3592.50439453125,"Bauchi","North East","Rural",0.793897083660088
59150,2,2,1.08,3592.50439453125,"Bauchi","North East","Rural",0.732367893713227
59151,3,3,3.3,3592.50439453125,"Bauchi","North East","Rural",1.45861502269952
59153,2,2,1.12,3592.50439453125,"Bauchi","North East","Rural",0.751416088683921
59154,3,3,1.526,3592.50439453125,"Bauchi","North East","Rural",0.926637023928299
59155,6,6,3.935,3592.50439453125,"Bauchi","North East","Rural",1.59635267288544
59156,3,3,0.41,3592.50439453125,"Bauchi","North East","Rural",0.343589704390077
59157,4,4,1.2,12122.2138671875,"Bauchi","North East","Rural",0.78845736036427
59158,1,1,0.1,12122.2138671875,"Bauchi","North East","Rural",0.0953101798043249
59159,5,5,1.48,12122.2138671875,"Bauchi","North East","Rural",0.908258560176891
59160,5,5,3.683744,12122.2138671875,"Bauchi","North East","Rural",1.54409779010012
59161,4,4,0.7712,12122.2138671875,"Bauchi","North East","Rural",0.571657282972235
59162,6,6,1.337372,12122.2138671875,"Bauchi","North East","Rural",0.849027221323068
59163,5,5,2.476558,12122.2138671875,"Bauchi","North East","Rural",1.24604272386376
59164,5,5,3.929372,12122.2138671875,"Bauchi","North East","Rural",1.59521159657351
59165,5,5,5.191872,12122.2138671875,"Bauchi","North East","Rural",1.82323746423914
59168,6,6,1.736686,12122.2138671875,"Bauchi","North East","Rural",1.00674769932669
59169,1,1,0.2,4771.48876953125,"Bauchi","North East","Rural",0.182321556793955
59170,3,3,1.3,4771.48876953125,"Bauchi","North East","Rural",0.832909122935104
59171,4,4,1.3,4771.48876953125,"Bauchi","North East","Rural",0.832909122935104
59172,2,2,0.6,4771.48876953125,"Bauchi","North East","Rural",0.470003629245736
59173,3,3,0.465,4771.48876953125,"Bauchi","North East","Rural",0.381855242469031
59174,2,2,0.282343,4771.48876953125,"Bauchi","North East","Rural",0.2486888734152
59175,3,3,0.47,4771.48876953125,"Bauchi","North East","Rural",0.385262400790645
59176,4,4,2.54,4771.48876953125,"Bauchi","North East","Rural",1.26412672714568
59179,5,5,2.601244,4771.48876953125,"Bauchi","North East","Rural",1.28127934132705
