"zone_ru","state","n_menages","total","type_engrais","taux","ic_lo","ic_hi"
"Rural",10,1806.55151367188,367705.248291016,"Chimique (NPK/Urée)",0.00491304250365799,0.00469215901634235,0.00514427034314169
"Rural",11,123182.887451172,471920.761474609,"Chimique (NPK/Urée)",0.261024514086354,0.259773410589965,0.262279508096111
"Rural",14,128154.356689453,592804.42199707,"Chimique (NPK/Urée)",0.2161831996086,0.215137162780415,0.217232914761189
"Rural",15,171096.54675293,218133.02935791,"Chimique (NPK/Urée)",0.784367902726902,0.782637049118325,0.786088740719281
"Rural",16,183296.092773438,630532.347412109,"Chimique (NPK/Urée)",0.290700538244768,0.289581005698633,0.291822621049803
"Rural",17,190936.023071289,418382.967773438,"Chimique (NPK/Urée)",0.456366625265407,0.454857748353222,0.457876303425664
"Rural",18,811047.20690918,868008.154052734,"Chimique (NPK/Urée)",0.934377405468366,0.933854557079365,0.934896409111155
"Rural",19,923040.642333984,996525.701904297,"Chimique (NPK/Urée)",0.926258741315064,0.925743969037253,0.926770227277054
"Rural",20,625431.105957031,666269.072753906,"Chimique (NPK/Urée)",0.938706494917919,0.938127997535155,0.939279933494002
"Rural",21,203497.335205078,383332.530273438,"Chimique (NPK/Urée)",0.530863725705512,0.529283627298434,0.532443205534547
"Rural",22,65772.0361328125,128842.141113281,"Chimique (NPK/Urée)",0.510485432518419,0.507755594502941,0.513214645301251
"Rural",23,16392.3341674805,282058.137451172,"Chimique (NPK/Urée)",0.0581168631247812,0.0572594336750648,0.0589863287651278
"Rural",25,168862.86328125,286844.47265625,"Chimique (NPK/Urée)",0.58869136196887,0.586889439319402,0.590490909117433
"Rural",26,136411.607421875,532316.007324219,"Chimique (NPK/Urée)",0.256260577448295,0.255089564483573,0.257435108279039
"Rural",27,8554.85205078125,255757.906860352,"Chimique (NPK/Urée)",0.0334490227723531,0.0327591528632789,0.034152907571289
"Rural",30,12951.0556640625,426153.474365234,"Chimique (NPK/Urée)",0.0303905903462442,0.029879421911148,0.0309102250689858
"Rural",31,699121.552246094,836723.779296875,"Chimique (NPK/Urée)",0.8355464127404,0.83475061016536,0.83633913429434
"Rural",32,121188.974609375,816258.015625,"Chimique (NPK/Urée)",0.14846895502347,0.147699257744552,0.149241961025004
"Rural",33,199851.577392578,491590.815673828,"Chimique (NPK/Urée)",0.406540502833926,0.405168165210592,0.407914301094819
"Rural",34,171279.087646484,436723.647705078,"Chimique (NPK/Urée)",0.3921910080815,0.39074393391685,0.393639978823824
"Rural",35,59629.8686523438,264866.08996582,"Chimique (NPK/Urée)",0.22513213624303,0.223545505422889,0.226726739984628
"Rural",36,690184.232421875,814627.249511719,"Chimique (NPK/Urée)",0.847239314466299,0.846456449744781,0.848018904317652
"Rural",37,4126.44952392578,35283.658203125,"Chimique (NPK/Urée)",0.116950728299491,0.11363918365117,0.120345671772758
"Urbain",1,3131.96923828125,42611.9826660156,"Chimique (NPK/Urée)",0.0734997304121944,0.0710602941029041,0.0760160575598662
"Urbain",2,31632.4782714844,35504.0700683594,"Chimique (NPK/Urée)",0.890953578296216,0.887668963684274,0.894153601502625
"Urbain",3,49082.8596191406,130407.71862793,"Chimique (NPK/Urée)",0.376380019032312,0.373754217482124,0.37901310338881
"Urbain",4,124731.435546875,456052.898925781,"Chimique (NPK/Urée)",0.273502121882519,0.272210320572805,0.27479773886776
"Urbain",5,2039.93389892578,2039.93389892578,"Chimique (NPK/Urée)",1,0.998120410442305,1
"Urbain",7,12724.931640625,19087.3974609375,"Chimique (NPK/Urée)",0.666666666666667,0.659946147388591,0.673320114013007
"Urbain",8,72389.07421875,203504.554199219,"Chimique (NPK/Urée)",0.355712305818402,0.353635109272639,0.357794949561895
"Urbain",10,2122.96044921875,69684.7384033203,"Chimique (NPK/Urée)",0.0304652137306093,0.0292148322897691,0.0317673597087641
"Urbain",12,10734.3092041016,175180.185913086,"Chimique (NPK/Urée)",0.0612758180849705,0.0601623076992406,0.0624085692759696
"Urbain",13,4919.64392089844,153326.115905762,"Chimique (NPK/Urée)",0.0320861445673233,0.031215701997315,0.0329800329379849
"Urbain",14,5621.9462890625,57181.3092041016,"Chimique (NPK/Urée)",0.0983179008545548,0.0959043998299886,0.100785368519936
"Urbain",15,23381.7143554688,26503.8712158203,"Chimique (NPK/Urée)",0.882199968641263,0.878263413029491,0.886025748535882
"Urbain",16,23011.822265625,70735.8658447266,"Chimique (NPK/Urée)",0.32532042961259,0.321877503976425,0.328782326895715
"Urbain",17,20771.6362304688,34490.4887695312,"Chimique (NPK/Urée)",0.602242443395535,0.597066058821237,0.607396055523843
"Urbain",18,89047.3276367188,89047.3276367188,"Chimique (NPK/Urée)",1,0.999956862342632,1
"Urbain",19,8095.13012695312,10886.2331542969,"Chimique (NPK/Urée)",0.743611680203443,0.735324521551587,0.751726971485976
"Urbain",20,167406.749023438,210646.010253906,"Chimique (NPK/Urée)",0.794730215025913,0.793000027337629,0.796449653179126
"Urbain",21,13835.2990722656,19369.4187011719,"Chimique (NPK/Urée)",0.714285714285714,0.70788174110683,0.720604707472538
"Urbain",22,11122.0930175781,67732.7758789062,"Chimique (NPK/Urée)",0.164205480629679,0.161434615095697,0.167014433120733
"Urbain",23,22199.9616699219,130991.594482422,"Chimique (NPK/Urée)",0.169476230575245,0.167454242869449,0.171517603589245
"Urbain",24,6574.5078125,6574.5078125,"Chimique (NPK/Urée)",1,0.999416045171478,1
"Urbain",25,3657.52734375,3657.52734375,"Chimique (NPK/Urée)",1,0.998950813472274,1
"Urbain",26,6181.2021484375,6181.2021484375,"Chimique (NPK/Urée)",1,0.999378911602792,1
"Urbain",29,2852.76586914062,145353.62109375,"Chimique (NPK/Urée)",0.0196263832140835,0.0189258736919606,0.0203522830455173
"Urbain",31,3646.14331054688,3646.14331054688,"Chimique (NPK/Urée)",1,0.998947541136902,1
"Urbain",34,8585.900390625,21464.7509765625,"Chimique (NPK/Urée)",0.4,0.393464691539649,0.406571095238942
"Urbain",35,48044.9794921875,96089.958984375,"Chimique (NPK/Urée)",0.5,0.496838665793993,0.503161334206007
"Urbain",36,40972.83203125,49167.3984375,"Chimique (NPK/Urée)",0.833333333333333,0.830013168794039,0.836601415139865
"Urbain",37,17871.1578979492,46835.2930908203,"Chimique (NPK/Urée)",0.381574592974031,0.377185060946405,0.385983550054182
