"identifiant_menage","superficie_totale_ha","superficie_gps_totale_ha","nb_parcelles","nb_parcelles_valides","region","etat","zone_residence","lga","strate","poids_menage"
19180,0.809372,0.24008,2,2,4,1,2,113,4,710.657043457031
19181,0.225096,0.32133,3,3,4,1,2,113,4,400
19182,0.647632,0.242896002,5,5,4,1,2,113,4,400
19183,0.088231,0.088231,1,1,4,1,2,113,4,400
19184,0.472236,0.096260999,4,4,4,1,2,113,4,400
19185,1.814244,0.349555987,7,7,4,1,2,113,4,400
19186,4.856232,0.417346997,4,4,4,1,2,113,4,400
19187,1.618744,0.14817,4,4,4,1,2,113,4,400
19188,2.832802,0.53408999,3,3,4,1,2,113,4,400
19191,0.262056,0.23906001,3,3,4,1,2,113,4,400
19192,0.324098,0.22123999,4,4,4,1,2,113,4,400
19193,1.75389,1.75389004,2,2,4,1,2,113,4,456.798797607422
19194,0.0703,0.037648001,2,2,4,1,2,113,4,456.798797607422
19195,0.10925,0.023595,2,2,4,1,2,113,4,456.798797607422
19196,0,0,1,0,4,1,2,113,4,456.798797607422
19197,0.404686,0,1,1,4,1,2,113,4,456.798797607422
19198,0,0,1,0,4,1,2,113,4,456.798797607422
19199,0,0,1,0,4,1,2,113,4,456.798797607422
19201,0,0,1,0,4,1,2,113,4,456.798797607422
19202,0.152168,0,2,2,4,1,2,113,4,456.798797607422
19204,0.00988,0,1,1,4,1,2,113,4,456.798797607422
19205,0.1266315,0.092419,2,2,4,1,1,115,4,3425.80493164062
19206,1.0511715,0.25828,3,3,4,1,1,115,4,3425.80493164062
19207,0.210792,1.10446997,3,3,4,1,1,115,4,3425.80493164062
19208,0.135426,0.41548999,2,2,4,1,1,115,4,3425.80493164062
19209,0.168406,0.48853999,2,2,4,1,1,115,4,3425.80493164062
19211,0.208845,1.23987998,3,3,4,1,1,115,4,3425.80493164062
19213,1.011715,1.12528,3,3,4,1,1,115,4,3425.80493164062
19214,0.837872,1.90038999,3,3,4,1,1,115,4,3425.80493164062
19215,0.607029,0.34023999,2,2,4,1,1,115,4,3425.80493164062
19216,0,0,1,0,4,1,1,115,4,NA
19217,0,0,1,0,4,1,1,115,4,4513.5068359375
19218,0,0,1,0,4,1,1,115,4,4513.5068359375
19222,0,0,1,0,4,1,1,115,4,4513.5068359375
19224,0,0,1,0,4,1,1,115,4,4513.5068359375
19225,0,0,1,0,4,1,1,115,4,4513.5068359375
19226,0,0,1,0,4,1,1,115,4,4513.5068359375
19227,0,0,1,0,4,1,1,115,4,4513.5068359375
19228,0,0,1,0,4,1,1,115,4,4513.5068359375
19230,1.011715,0.094785998,3,3,4,1,2,117,4,2645.09692382812
19231,1.759372,0.340894,4,4,4,1,2,117,4,2645.09692382812
19232,1.214058,0.165658002,3,3,4,1,2,117,4,2645.09692382812
19234,0,0,1,0,4,1,2,117,4,2645.09692382812
19235,0.225718,0.0786779979,4,4,4,1,2,117,4,2645.09692382812
19236,0.727686,0.082890001,4,4,4,1,2,117,4,2645.09692382812
19238,0.172785,0.033839,3,3,4,1,2,117,4,2645.09692382812
19239,0.1805,0.128715002,3,3,4,1,2,117,4,2645.09692382812
19242,0,0,1,0,4,1,1,102,4,3688.921875
