hhid,total_area_ha,total_area_gps_ha,n_plots,n_plots_valides,region,etat,zone_residence,strate,wt_wave4
20046,3.035145,0.980760999,5,5,North East,Adamawa,Rural,2,1473.3438720703125
20047,4.249203,2.13242002,3,3,North East,Adamawa,Rural,2,1473.3438720703125
20048,3.0484299999999998,1.24913,3,3,North East,Adamawa,Rural,2,1473.3438720703125
20049,3.428116,0.7051,3,3,North East,Adamawa,Rural,2,1473.3438720703125
20050,2.448116,0.36691999999999997,2,2,North East,Adamawa,Rural,2,1473.3438720703125
20061,0.854372,0.54391999,3,3,North East,Adamawa,Rural,2,2485.0859375
20062,1.214158,0.91313,4,4,North East,Adamawa,Rural,2,2485.0859375
20063,7.25458,2.01562999,4,4,North East,Adamawa,Rural,2,2485.0859375
20064,5.4515460000000004,1.15092,6,6,North East,Adamawa,Rural,2,2485.0859375
20065,1.214058,1.21029002,2,2,North East,Adamawa,Rural,2,2485.0859375
20066,2.518116,1.73768999,3,3,North East,Adamawa,Rural,2,2485.0859375
20068,3.404686,1.29448004,4,4,North East,Adamawa,Rural,2,2485.0859375
20069,1.618744,1.38986803,4,4,North East,Adamawa,Rural,2,2485.0859375
20070,1.809372,0.37115,3,3,North East,Adamawa,Rural,2,2485.0859375
20091,2.854372,0.26633,4,4,North East,Adamawa,Rural,2,1106.5712890625
20092,4.048,1.40984,4,4,North East,Adamawa,Rural,2,1106.5712890625
20093,2.09,0.72745,3,3,North East,Adamawa,Rural,2,1106.5712890625
20094,1.663744,0,3,3,North East,Adamawa,Rural,2,1106.5712890625
20095,1.708744,1.1673,3,3,North East,Adamawa,Rural,2,1106.5712890625
20096,3.327488,2.1692,3,3,North East,Adamawa,Rural,2,1106.5712890625
20097,1.264058,0.9298099599999999,3,3,North East,Adamawa,Rural,2,1106.5712890625
20098,7.045,1.03475,6,6,North East,Adamawa,Rural,2,1106.5712890625
20099,1.449686,0.44167999999999996,3,3,North East,Adamawa,Rural,2,1106.5712890625
20100,2.449686,0.62683,4,4,North East,Adamawa,Rural,2,1106.5712890625
20101,2.857372,0.2389,4,4,North East,Adamawa,Rural,2,1822.6046142578125
20102,3.663744,1.95282998,7,7,North East,Adamawa,Rural,2,1822.6046142578125
20103,4.404686,0.1471,5,5,North East,Adamawa,Rural,2,1822.6046142578125
20104,4.045,0.42401,5,5,North East,Adamawa,Rural,2,1822.6046142578125
20105,NA,0,1,0,North East,Adamawa,Rural,2,1822.6046142578125
20106,4.9762319999999995,0.14711,8,8,North East,Adamawa,Rural,2,1822.6046142578125
20107,2.478116,0.16726,4,4,North East,Adamawa,Rural,2,1822.6046142578125
20108,1.440496,0.37338000000000005,3,3,North East,Adamawa,Rural,2,1822.6046142578125
20110,0.854372,0.12797999999999998,3,3,North East,Adamawa,Rural,2,1822.6046142578125
29001,2.025,2.74613,3,3,North East,Adamawa,Rural,2,4149.94140625
29002,2.025,1.7978,2,2,North East,Adamawa,Rural,2,4149.94140625
29003,4.643744,3.6333,3,3,North East,Adamawa,Rural,2,4149.94140625
29004,4.06886,2.11775,3,3,North East,Adamawa,Rural,2,4149.94140625
29005,0.607029,0.47241001,2,2,North East,Adamawa,Rural,2,4149.94140625
29006,2.02343,2.81661001,4,4,North East,Adamawa,Rural,2,4149.94140625
29007,4.309372,0.36056001,3,3,North East,Adamawa,Rural,2,4149.94140625
29008,4.025,5.430999999999999,3,3,North East,Adamawa,Rural,2,4149.94140625
29009,3.023,3.0254,2,2,North East,Adamawa,Rural,2,4149.94140625
29010,0.829372,2.256,2,2,North East,Adamawa,Rural,2,4149.94140625
29013,3.2674879999999997,2.8391,3,3,North East,Adamawa,Rural,2,1407.2490234375
29014,0.829372,3.2393,3,3,North East,Adamawa,Rural,2,1407.2490234375
29017,NA,0,1,0,North East,Adamawa,Rural,2,1407.2490234375
29018,0.823372,4.24526,3,3,North East,Adamawa,Rural,2,1407.2490234375
29019,3.015,1.5713399899999998,3,3,North East,Adamawa,Rural,2,1407.2490234375
29020,4.107029,5.098660010000001,4,4,North East,Adamawa,Rural,2,1407.2490234375
29021,3.6421740000000002,4.47576998,5,5,North East,Adamawa,Rural,2,1407.2490234375
29022,5.058575,1.03969002,5,5,North East,Adamawa,Rural,2,1407.2490234375
29023,3.247488,11.1619,4,4,North East,Adamawa,Rural,2,1407.2490234375
29024,2.623744,1.33853003,3,3,North East,Adamawa,Rural,2,1407.2490234375
29025,2.663744,1.3558,4,4,North East,Adamawa,Rural,2,794.48040771484375
29026,1.4046859999999999,2.48897998,2,2,North East,Adamawa,Rural,2,794.48040771484375
29028,2,1.07749002,2,2,North East,Adamawa,Rural,2,794.48040771484375
29029,3.045,0.79191001,4,4,North East,Adamawa,Rural,2,794.48040771484375
29031,2.08343,1.6499599600000001,3,3,North East,Adamawa,Rural,2,794.48040771484375
29032,5.320918,5.865010010000001,5,5,North East,Adamawa,Rural,2,794.48040771484375
29033,2.478116,2.01148999,4,4,North East,Adamawa,Rural,2,794.48040771484375
29034,6.045,5.72078999,4,4,North East,Adamawa,Rural,2,794.48040771484375
29035,2.045,1.54896997,3,3,North East,Adamawa,Rural,2,794.48040771484375
29036,1.254058,0.8249999800000001,3,3,North East,Adamawa,Rural,2,794.48040771484375
29037,3.01,1.749,2,2,North East,Adamawa,Rural,2,3840.7978515625
29038,2.01,0.41945,2,2,North East,Adamawa,Rural,2,3840.7978515625
29039,4.01,1.5466300299999998,3,3,North East,Adamawa,Rural,2,3840.7978515625
29041,5.261218,2.13843999,3,3,North East,Adamawa,Rural,2,3840.7978515625
29042,2.03,0.56322002,2,2,North East,Adamawa,Rural,2,3840.7978515625
29044,2.03343,1.81647002,3,3,North East,Adamawa,Rural,2,3840.7978515625
29045,5.685604,1.3725200000000002,3,3,North East,Adamawa,Rural,2,3840.7978515625
29046,2.916401,0.86274798,4,4,North East,Adamawa,Rural,2,3840.7978515625
29047,14.973381999999999,6.7766,5,5,North East,Adamawa,Rural,2,3840.7978515625
29048,5.523,1.7728600099999998,4,4,North East,Adamawa,Rural,2,3840.7978515625
29050,3.01,2.7009600099999997,4,4,North East,Adamawa,Rural,2,890.63519287109375
29051,3.01,2.42047998,3,3,North East,Adamawa,Rural,2,890.63519287109375
29052,1.4146859999999999,1.61833999,3,3,North East,Adamawa,Rural,2,890.63519287109375
29053,1.628744,1.7428299799999998,3,3,North East,Adamawa,Rural,2,890.63519287109375
29054,3.904686,1.5710100599999999,3,3,North East,Adamawa,Rural,2,890.63519287109375
