"hhid","nb_parcelles","superf_totale_ha","superf_moy_ha","wt_wave4","milieu","state"
149020,1,0.048653,0.048653,5618.947265625,"Rural",14
149038,1,0.029743,0.029743,5621.9462890625,"Urbain",14
149062,1,0.033548,0.033548,1338.23474121094,"Urbain",14
149085,1,0.32022,0.32022,4709.505859375,"Rural",14
149089,1,0.01785,0.01785,4709.505859375,"Rural",14
149090,2,0.547378,0.273689,4709.505859375,"Rural",14
149094,2,0.31948,0.15974,4709.505859375,"Rural",14
149096,1,0.15949,0.15949,4709.505859375,"Rural",14
149101,1,0.013223,0.013223,1066.99865722656,"Rural",14
149105,1,0.25757,0.25757,1066.99865722656,"Rural",14
149123,2,0.051683,0.0258415,11415.232421875,"Rural",14
149125,1,0.00355,0.00355,11415.232421875,"Rural",14
149127,1,0.016134,0.016134,11415.232421875,"Rural",14
149138,2,0.84371,0.421855,1425.84338378906,"Rural",14
149139,1,0.091725,0.091725,1425.84338378906,"Rural",14
149140,2,0.366079,0.1830395,1425.84338378906,"Rural",14
149142,1,0.49576,0.49576,1425.84338378906,"Rural",14
149143,1,0.034897,0.034897,1425.84338378906,"Rural",14
149162,2,1.32708,0.66354,5037.4111328125,"Rural",14
150003,1,0.2584,0.2584,1552.15893554688,"Urbain",15
150014,1,0.26485,0.26485,659.381408691406,"Rural",15
150015,1,0.98518,0.98518,659.381408691406,"Rural",15
150018,1,0.39795,0.39795,659.381408691406,"Rural",15
150019,1,0.91079,0.91079,659.381408691406,"Rural",15
150022,1,0.27344,0.27344,6224.7177734375,"Rural",15
150025,1,0.5159,0.5159,6224.7177734375,"Rural",15
150030,1,0.18077,0.18077,6224.7177734375,"Rural",15
159002,1,0.26525,0.26525,2096.064453125,"Rural",15
159007,1,0.58598,0.58598,2096.064453125,"Rural",15
159017,2,1.16826,0.58413,602.8857421875,"Rural",15
159065,1,0.59446,0.59446,1578.07482910156,"Urbain",15
159076,1,0.32915,0.32915,2340.64453125,"Rural",15
159078,1,0.34609,0.34609,2340.64453125,"Rural",15
159087,2,0.95279,0.476395,3230.22607421875,"Rural",15
159099,1,0.31214,0.31214,3708.1982421875,"Rural",15
159100,1,0.25329,0.25329,3708.1982421875,"Rural",15
160008,1,0.042342,0.042342,3215.68701171875,"Rural",16
