hhid,secteur_residence,taille_menage
90028,Urbain,3
90029,Urbain,6
90030,Urbain,1
90041,Rural,5
90042,Rural,1
90043,Rural,6
90044,Rural,4
90046,Rural,2
90047,Rural,5
90048,Rural,4
90091,Rural,3
90092,Rural,8
90093,Rural,3
90094,Rural,4
90095,Rural,5
90096,Rural,6
90097,Rural,8
90098,Rural,1
90099,Rural,1
90100,Rural,8
99001,Rural,5
99002,Rural,1
99003,Rural,1
99004,Rural,5
99005,Rural,4
99006,Rural,4
99008,Rural,4
99009,Rural,2
99010,Rural,1
99011,Rural,2
99013,Urbain,2
99014,Urbain,2
99015,Urbain,1
99016,Urbain,4
99017,Urbain,4
99019,Urbain,6
99020,Urbain,1
99021,Urbain,2
99023,Urbain,4
99026,Urbain,1
99027,Urbain,7
99029,Urbain,1
99030,Urbain,2
99031,Urbain,1
99032,Urbain,3
99033,Urbain,2
99034,Urbain,6
99035,Urbain,4
99036,Urbain,5
99037,Rural,3
99038,Rural,2
99040,Rural,8
99041,Rural,5
99043,Rural,11
99044,Rural,4
99045,Rural,7
99046,Rural,3
99048,Rural,4
99051,Rural,2
99052,Rural,4
99053,Rural,6
99054,Rural,5
99055,Rural,4
99056,Rural,4
99057,Rural,5
99058,Rural,3
99059,Rural,1
99061,Rural,3
99062,Rural,5
99064,Rural,1
99065,Rural,1
99066,Rural,2
99068,Rural,4
99070,Rural,6
99071,Rural,4
99072,Rural,2
99074,Rural,5
99075,Rural,8
99076,Rural,6
99077,Rural,5
99079,Rural,4
99080,Rural,2
99081,Rural,5
99082,Rural,5
99083,Rural,5
99088,Urbain,3
99094,Rural,10
99096,Rural,4
99098,Rural,2
100031,Rural,7
100032,Rural,7
100033,Rural,3
100034,Rural,4
100035,Rural,7
100036,Rural,4
100037,Rural,3
100038,Rural,4
100039,Rural,1
100040,Rural,6
100111,Urbain,5
100113,Urbain,3
100115,Urbain,2
100117,Urbain,6
100118,Urbain,6
100119,Urbain,5
100120,Urbain,6
100131,Rural,7
100132,Rural,3
100133,Rural,3
100134,Rural,6
100135,Rural,3
100136,Rural,4
100138,Rural,6
109002,Urbain,1
109005,Urbain,5
109006,Urbain,3
109007,Urbain,4
109008,Urbain,3
109009,Urbain,10
109011,Urbain,4
109012,Urbain,7
109013,Rural,7
109014,Rural,6
109016,Rural,4
109017,Rural,2
109018,Rural,6
109019,Rural,5
109020,Rural,3
109021,Rural,9
109022,Rural,2
109023,Rural,3
109025,Rural,3
109026,Rural,1
109028,Rural,5
109029,Rural,4
