"hhid","cropcode","crop_name","superficie_ha","prod_kg","rendement_kg_ha","state"
59095,1100,"Millet",0.62,6200,10000,5
59098,1080,"Maïs",0.03,300,10000,5
59098,1100,"Millet",0.04,400,10000,5
59099,1100,"Millet",0.05,500,10000,5
59103,1100,"Millet",0.01,100,10000,5
59105,1100,"Millet",0.02,200,10000,5
59108,1100,"Millet",0.02,200,10000,5
59110,1080,"Maïs",0.43,4300,10000,5
59111,1080,"Maïs",0.06,600,10000,5
59112,1080,"Maïs",0.13,1300,10000,5
59113,1080,"Maïs",0.13,1300,10000,5
59115,1080,"Maïs",0.3,3000,10000,5
59116,1080,"Maïs",0.06,600,10000,5
59120,1080,"Maïs",0.05,500,10000,5
59121,1100,"Millet",0.025,250,10000,5
59122,1100,"Millet",0.15,1500,10000,5
59124,1100,"Millet",0.12,1200,10000,5
59125,1100,"Millet",0.12,1200,10000,5
59129,1100,"Millet",0.05,500,10000,5
59130,1100,"Millet",0.0207999992370605,207.999992370605,10000,5
59132,1100,"Millet",0.11,1100,10000,5
59133,1100,"Millet",0.045,450,10000,5
59144,1100,"Millet",0.0259999990463257,259.999990463257,10000,5
59145,1100,"Millet",0.02,200,10000,5
59147,1100,"Millet",0.05,500,10000,5
59148,1100,"Millet",0.02,200,10000,5
59149,1100,"Millet",0.02,200,10000,5
59150,1100,"Millet",0.03,300,10000,5
59151,1100,"Millet",0.05,500,10000,5
59153,1100,"Millet",0.02,200,10000,5
59154,1100,"Millet",0.03,300,10000,5
59155,1100,"Millet",0.1,1000,10000,5
59159,1080,"Maïs",0.11,1100,10000,5
59161,1080,"Maïs",0.08,800,10000,5
59162,1080,"Maïs",0.08,800,10000,5
59162,1100,"Millet",0.03,300,10000,5
59163,1080,"Maïs",0.18,1800,10000,5
59164,1080,"Maïs",0.0072,72,10000,5
59165,1080,"Maïs",0.04,400,10000,5
59168,1080,"Maïs",0.0324,324,10000,5
59169,1080,"Maïs",0.02,200,10000,5
59170,1080,"Maïs",0.04,400,10000,5
59171,1080,"Maïs",0.02,200,10000,5
59172,1080,"Maïs",0.05,500,10000,5
59173,1080,"Maïs",0.025,250,10000,5
59175,1080,"Maïs",0.05,500,10000,5
59176,1080,"Maïs",0.144,1440,10000,5
59179,1080,"Maïs",0.05,500,10000,5
59180,1080,"Maïs",0.1,1000,10000,5
59182,1080,"Maïs",0.37,3700,10000,5
59186,1080,"Maïs",0.1296,1296,10000,5
59187,1080,"Maïs",0.0216,216,10000,5
59188,1080,"Maïs",0.05,500,10000,5
59189,1080,"Maïs",0.19,1900,10000,5
59190,1080,"Maïs",0.09,900,10000,5
59191,1080,"Maïs",0.05,500,10000,5
59212,1100,"Millet",0.01,100,10000,5
59214,1100,"Millet",0.01,100,10000,5
60051,1080,"Maïs",9e-04,9,10000,6
69045,1080,"Maïs",0.0036,36,10000,6
69047,1080,"Maïs",0.0018,18,10000,6
70015,1080,"Maïs",0.1,1000,10000,7
