"hhid","zone","state","lga","sector","ea","cropcode","crop_name","crop_type","wt_wave4","area_type"
19230,4,1,117,2,800,1080,"maize","céréale",2645.09692382812,"rural"
19230,4,1,117,2,800,2120,"okro","autres",2645.09692382812,"rural"
19230,4,1,117,2,800,2190,"pumpkin","autres",2645.09692382812,"rural"
19231,4,1,117,2,800,1010,"beans/cowpea","légumineuse",2645.09692382812,"rural"
19231,4,1,117,2,800,1080,"maize","céréale",2645.09692382812,"rural"
19232,4,1,117,2,800,1080,"maize","céréale",2645.09692382812,"rural"
19232,4,1,117,2,800,2120,"okro","autres",2645.09692382812,"rural"
19232,4,1,117,2,800,2190,"pumpkin","autres",2645.09692382812,"rural"
19235,4,1,117,2,800,1080,"maize","céréale",2645.09692382812,"rural"
19236,4,1,117,2,800,1080,"maize","céréale",2645.09692382812,"rural"
19238,4,1,117,2,800,1080,"maize","céréale",2645.09692382812,"rural"
