"hhid","zone","state","lga","sector","ea","area_type","wt_wave4","used_inorganic","used_npk","used_urea","used_organic","used_pesticide","used_herbicide","used_any_fertilizer","n_plots"
29029,2,2,207,2,158,"rural",794.480407714844,2,1,1,2,1,1,0,3
29031,2,2,207,2,158,"rural",794.480407714844,1,1,0,2,2,1,1,2
29032,2,2,207,2,158,"rural",794.480407714844,2,0,1,2,2,1,0,4
29033,2,2,207,2,158,"rural",794.480407714844,2,1,0,2,2,1,0,3
29034,2,2,207,2,158,"rural",794.480407714844,2,1,0,2,2,1,0,3
29035,2,2,207,2,158,"rural",794.480407714844,2,1,1,2,1,1,0,2
29036,2,2,207,2,158,"rural",794.480407714844,1,1,1,2,2,1,1,2
29037,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,1,0,1
29038,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,1,0,1
29039,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,1,0,2
29041,2,2,208,2,300,"rural",3840.7978515625,2,0,1,2,2,1,0,2
29042,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,1,0,1
29044,2,2,208,2,300,"rural",3840.7978515625,2,0,1,2,2,1,0,2
29045,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,1,0,2
29046,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,1,0,3
29047,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,1,0,4
29048,2,2,208,2,300,"rural",3840.7978515625,2,0,0,2,2,2,0,3
29050,2,2,209,2,10,"rural",890.635192871094,2,1,1,2,2,1,0,3
29051,2,2,209,2,10,"rural",890.635192871094,2,1,0,2,2,1,0,2
29052,2,2,209,2,10,"rural",890.635192871094,2,0,0,2,2,2,0,2
29053,2,2,209,2,10,"rural",890.635192871094,2,0,0,2,2,2,0,2
29054,2,2,209,2,10,"rural",890.635192871094,2,1,0,2,2,1,0,2
29055,2,2,209,2,10,"rural",890.635192871094,2,0,1,2,2,1,0,2
29056,2,2,209,2,10,"rural",890.635192871094,2,0,0,2,2,1,0,2
29057,2,2,209,2,10,"rural",890.635192871094,2,0,0,2,2,2,0,2
29058,2,2,209,2,10,"rural",890.635192871094,2,0,0,2,2,1,0,2
29060,2,2,209,2,10,"rural",890.635192871094,2,0,1,2,2,1,0,3
29061,2,2,210,2,924,"rural",1820.69848632812,2,1,0,2,2,1,0,2
29062,2,2,210,2,924,"rural",1820.69848632812,2,0,0,2,2,1,0,2
29063,2,2,210,2,924,"rural",1820.69848632812,2,1,1,2,2,2,0,3
29064,2,2,210,2,924,"rural",1820.69848632812,2,1,0,2,2,2,0,3
29065,2,2,210,2,924,"rural",1820.69848632812,2,0,1,2,1,1,0,2
29066,2,2,210,2,924,"rural",1820.69848632812,2,0,0,2,1,1,0,2
29068,2,2,210,2,924,"rural",1820.69848632812,2,1,0,2,2,2,0,4
29070,2,2,210,2,924,"rural",1820.69848632812,2,0,0,2,2,1,0,4
29071,2,2,210,2,924,"rural",1820.69848632812,2,0,0,2,2,1,0,4
29072,2,2,210,2,924,"rural",1820.69848632812,1,0,1,2,2,2,1,1
29073,2,2,211,2,344,"rural",1788.39514160156,2,1,0,2,2,1,0,3
29074,2,2,211,2,344,"rural",1788.39514160156,2,0,0,2,2,1,0,3
29076,2,2,211,2,344,"rural",1788.39514160156,2,1,0,2,1,1,0,2
29077,2,2,211,2,344,"rural",1788.39514160156,2,0,0,2,2,2,0,1
29078,2,2,211,2,344,"rural",1788.39514160156,2,1,1,2,2,1,0,2
29079,2,2,211,2,344,"rural",1788.39514160156,2,0,0,2,2,1,0,2
29080,2,2,211,2,344,"rural",1788.39514160156,2,1,1,2,2,1,0,3
29082,2,2,211,2,344,"rural",1788.39514160156,2,1,0,2,2,1,0,2
29083,2,2,211,2,344,"rural",1788.39514160156,2,0,0,2,2,1,0,4
29084,2,2,211,2,344,"rural",1788.39514160156,2,0,0,2,2,1,0,1
29085,2,2,211,2,532,"rural",4453.15234375,1,1,1,2,2,1,1,2
29086,2,2,211,2,532,"rural",4453.15234375,1,1,1,2,1,1,1,3
29087,2,2,211,2,532,"rural",4453.15234375,2,1,0,2,2,2,0,4
29089,2,2,211,2,532,"rural",4453.15234375,1,1,0,2,2,1,1,1
29090,2,2,211,2,532,"rural",4453.15234375,2,1,1,2,2,1,0,2
29091,2,2,211,2,532,"rural",4453.15234375,1,1,1,2,2,1,1,1
29092,2,2,211,2,532,"rural",4453.15234375,2,0,0,2,2,1,0,1
29094,2,2,211,2,532,"rural",4453.15234375,2,1,0,2,2,1,0,3
29095,2,2,211,2,532,"rural",4453.15234375,1,1,0,2,2,1,1,1
29096,2,2,211,2,532,"rural",4453.15234375,1,1,0,2,2,1,1,1
29097,2,2,211,2,668,"rural",1218.99694824219,1,1,0,2,2,1,1,1
29099,2,2,211,2,668,"rural",1218.99694824219,2,1,1,2,2,1,0,3
29100,2,2,211,2,668,"rural",1218.99694824219,2,0,0,2,2,1,0,2
29101,2,2,211,2,668,"rural",1218.99694824219,2,1,0,2,2,1,0,2
29102,2,2,211,2,668,"rural",1218.99694824219,1,1,1,2,2,1,1,2
29103,2,2,211,2,668,"rural",1218.99694824219,2,0,0,2,2,1,0,2
29104,2,2,211,2,668,"rural",1218.99694824219,2,1,0,2,2,1,0,2
29105,2,2,211,2,668,"rural",1218.99694824219,2,1,0,2,2,1,0,2
29107,2,2,211,2,668,"rural",1218.99694824219,2,0,0,2,2,2,0,1
29108,2,2,211,2,668,"rural",1218.99694824219,2,1,0,2,2,2,0,2
29109,2,2,212,2,100,"rural",1328.25122070312,2,1,1,2,2,1,0,2
29110,2,2,212,2,100,"rural",1328.25122070312,2,0,0,2,2,2,0,1
29111,2,2,212,2,100,"rural",1328.25122070312,2,1,0,2,2,2,0,2
29112,2,2,212,2,100,"rural",1328.25122070312,2,0,0,2,2,2,0,2
29113,2,2,212,2,100,"rural",1328.25122070312,2,0,0,2,2,2,0,2
29115,2,2,212,2,100,"rural",1328.25122070312,2,1,1,2,2,1,0,2
29116,2,2,212,2,100,"rural",1328.25122070312,2,1,1,2,2,2,0,3
29118,2,2,212,2,100,"rural",1328.25122070312,2,1,0,2,2,1,0,2
29119,2,2,212,2,100,"rural",1328.25122070312,1,1,1,2,2,1,1,2
29120,2,2,212,2,100,"rural",1328.25122070312,2,0,0,2,2,1,0,2
29121,2,2,212,2,1254,"rural",640.697570800781,2,0,0,2,2,1,0,2
29122,2,2,212,2,1254,"rural",640.697570800781,2,0,0,2,2,1,0,2
29123,2,2,212,2,1254,"rural",640.697570800781,2,1,0,2,2,1,0,2
29124,2,2,212,2,1254,"rural",640.697570800781,2,0,0,2,2,1,0,3
29126,2,2,212,2,1254,"rural",640.697570800781,1,1,1,2,2,1,1,1
